question	sip
"Dance and sing ""The Dance of the Little Ducklings"""	4
Sing a short opera	4
Perform a belly dance	4
Sing your favorite childhood song in a rock version	4
"Play ""The Floor Is Lava"" and reach the toilet"	5
Hop on one leg around yourself 3 times	4
Perform a ballet dance	4
Imitate a child’s tantrum while lying on the floor	5
Swap one piece of clothing with another player for the rest of the game	3
Tell a scary story while meowing	2
(Pub) Approach someone outside your group using the worst pickup line	5
(Pub) Ask for an autograph from someone outside your group	4
Talk about your pet’s death and laugh after every sentence	2
Dance the Macarena	4
(Pub) Invite someone outside your group to play	5
Build a tower using 4 items from the table	2
Ask any player to draw a penis on your belly	4
(Pub) Pretend to be a cat and meow to order a new drink from the barman	5
Give 3 light slaps to the back of a player’s head (of your choice)	5
Use gestures to act out the last thing you ate	3
Demonstrate how to masturbate using an object	5
Do an aggressive twerk dance	5
Imitate an orgasm as loudly as possible!	5
Reenact your last sexual experience using items on the table	4
Sing tomorrow’s weather forecast	3
Find out the color of the underwear of the person to your right	3
Read your last sent text message in a seductive voice	3
Suck your thumb like a baby	3
(Pub) Declare war on the neighboring table	5
Take a silly selfie and post it on social media	4
"(Pub) Finish your drink, tell the barman to replace it because it has ""too much air"""	4
"Perform a dramatic ""dying swan"" act"	3
Show the most embarrassing photo on your phone	3
Act out drunkenly stumbling to the bathroom to vomit	4
(Pub) Give a gift to someone outside your group	4
Dance on an imaginary pole	4
Dance like a tree swaying in the wind	3
Draw a self-portrait and display it prominently	3
Swear non-stop for 20 seconds	3
Perform the moonwalk	4
Voice a scene from a porn film.	5
Perform a magic trick	2
Tell the dumbest joke you know	2
(Pub) Greet everyone at the neighboring table	5
Style another player’s hair	3
Express excitement in Yoda’s speech style	3
Create a mustache using another player’s hair, take a photo, and post it online	5
Perform a striptease and remove one clothing item for the rest of the game	5
Describe your last dream with a French accent	3
Show off your breakdancing skills	5
Dance to spell out your name	4
Crab-walk around the table	3
Make a hat from nearby objects and wear it for the rest of the game	2
Read the news in a robotic voice	2
(Pub) Personally say goodbye to the first person leaving the bar	5
Quote a movie line	1
Deliver your own eulogy	4
Stuff something under your clothes and pretend to be pregnant	3
(Pub) Order the grossest cocktail from the bartender and drink it	5
Jump 10 times with an imaginary jump rope	3
Describe your day in a toddler’s voice	1
Spin around yourself 10 times	3
Recount the last ad you saw in a pitiful tone	3
