question	sip
How often do you masturbate?	5
Do you have homemade porn starring yourself?	3
What’s the most disgusting thing you’ve ever had in your mouth?	4
What’s the meanest prank you’ve ever pulled?	3
What nicknames did you have as a kid?	3
Which movie role would you want to play?	1
Who was your worst ex and why?	4
What was your first CD?	1
What’s the last thing you stole?	2
How old were you when you first had sex?	3
Who would you kill if there were no consequences?	3
Who have you beaten up?	3
Have you ever been caught having sex or masturbating? If yes, by whom?	4
How much would a sheikh have to pay to spend a night with you?	3
Tell us about your first big love.	3
What cybernetic implants would you want?	1
What’s the weirdest place you’ve ever peed?	4
What superpower would you want?	1
What would you do if you were invisible for a day?	3
What’s the dumbest thing you’ve ever done?	4
What’s your grossest habit?	3
Describe your first kiss.	3
Which celebrity would you want to meet?	3
How many sexual partners have you had?	5
When was the last time you wet the bed?	3
What drugs have you tried?	3
Who here (excluding your partner) has the nicest ass?	3
Who here (excluding your partner) do you find most attractive?	3
What’s your biggest regret in life?	3
Who has ever hit you?	3
Where would you teleport to right now?	1
What lie of yours got exposed?	5
Tell us about your worst sexual experience.	5
What law would you enact as king of the world?	2
When and why did you last lose your temper?	3
What would your cult believe in if you started one?	2
What’s the most shameful thing you’ve done for love?	5
What color are your underwear right now?	2
Who in this group (excluding your partner) would you go naked hiking with?	4
Show your tattoo and explain its meaning.	2
Show a scar and tell its story.	2
What’s the worst gift you’ve ever received?	2
What’s your biggest mistake?	3
Describe your worst encounter with the police.	2
What’s your favorite swear word?	1
Tell us about your worst vacation.	1
What body part do you hate the most?	4
What was your last white lie?	3
How often do you watch porn?	4
What did you want to be as a kid?	2
Which famous person (dead or alive) would you want to be?	2
Who was in your last sexual dream (excluding your partner)?	2
What’s your favorite porn category?	4
When and why did you last cry?	4
Choose: no more sex or no more love?	2
What don’t your parents know about you?	3
Who was the last person you gossiped about?	4
What’s the dumbest mistake you’ve made at work?	3
Where and when would you teleport to right now?	2
What would your autobiography be titled?	2
What’s your weirdest sexual fetish?	5
What’s your strangest food preference?	3
What’s the weirdest place you’ve had sex?	4
What’s your most embarrassing alcohol-related story?	4
Would you choose to be smarter, hotter, or richer?	2
