question	sip
Как часто ты мастурбируешь?	5
Есть ли у тебя домашнее порно с тобой в главной роли?	3
Самая отвратительная вещь, которая когда-либо была у тебя во рту?	4
Самый подлый пранк, который ты когда-либо устраивал?	3
Какие прозвища у тебя были в детстве?	3
В каком фильме и какую роль ты бы хотел сыграть?	1
Кто твой самый ужасный бывший и почему?	4
Какой был твой первый CD-диск?	1
Что ты в последний раз украл?	2
В каком возрасте у тебя был первый секс?	3
Кого бы ты убил, если бы не было последствий?	3
Кого ты избивал?	3
Тебя когда-нибудь ловили за сексом или мастурбацией? Если да, то кто?	4
Сколько шейху пришлось бы заплатить за одну ночь с тобой?	3
Расскажи о своей первой большой любви.	3
Какие кибернетические импланты ты бы хотел иметь?	1
В каком самом необычном месте ты писал?	4
Какую суперспособность ты бы хотел иметь?	1
Что бы ты сделал, если бы стал невидимкой на один день?	3
Самое глупое, что ты когда-либо делал?	4
Твоя самая отвратительная привычка?	3
Расскажи о своём первом поцелуе.	3
С какой знаменитостью ты бы хотел встретиться?	3
Сколько у тебя было сексуальных партнёров?	5
Когда ты в последний раз писал в постель?	3
Какие наркотики ты пробовал?	3
У кого из присутствующих самая красивая задница? (кроме партнёра)	3
Кого из присутствующих (кроме партнёра) ты считаешь самым красивым?	3
О чём ты больше всего жалеешь в жизни?	3
Кто тебя когда-либо бил?	3
Куда бы ты прямо сейчас телепортировался?	1
Какая твоя ложь была раскрыта?	5
Расскажи о своём худшем сексуальном опыте.	5
Какой закон ты бы ввёл, будь королём мира?	2
Когда и почему ты в последний раз выходил из себя?	3
Во что бы верил твой культ, если бы ты его создал?	2
Расскажи о самом постыдном поступке, который ты совершил ради любви.	5
Какого цвета твоё нижнее бельё?	2
С кем из группы (кроме партнёра) ты бы отправился в поход голышом?	4
Покажи свою татуировку и объясни, что она означает.	2
Покажи шрам и расскажи его историю.	2
Худший подарок, который ты когда-либо получал?	2
Самая большая ошибка, которую ты совершил?	3
Расскажи о своём самом ужасном столкновении с полицией.	2
Твоё любимое матерное слово?	1
Расскажи про свой худший отпуск.	1
Какая часть твоего тела тебе нравится меньше всего?	4
Твоя последняя ложь во благо?	3
Как часто ты смотришь порно?	4
Кем ты хотел стать в детстве?	2
Кем из известных личностей (живых или мёртвых) ты бы хотел быть?	2
Кто был героем твоего последнего сексуального сна (без учёта партнёра)?	2
Твоя любимая категория порно?	4
Когда и почему ты в последний раз плакал?	4
Выбери: больше никакого секса или никакой любви?	2
Чего твои родители не знают о тебе?	3
О ком ты в последний раз сплетничал?	4
Самая тупая ошибка, которую ты допустил на работе?	3
В какое время и куда ты бы отправился, если бы мог телепортироваться?	2
Какое название было бы у твоей автобиографии?	2
Твой самый странный сексуальный фетиш?	5
Твоё самое необычное кулинарное предпочтение?	3
Самое необычное место, где ты занимался сексом?	4
Твоя самая стыдная история, связанная с алкоголем?	4
Ты бы выбрал: быть умнее, красивее или богаче?	2
